     ('200.6.73.40', 'GET', '/downloads/product_1'),
     ('46.4.88.134', 'GET', '/downloads/product_1'),
     ('50.57.209.92', 'GET', '/downloads/product_1'),
     ('93.64.134.186', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('62.75.198.180', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('62.75.198.179', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('91.239.186.133', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('83.161.14.106', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('195.154.77.170', 'GET', '/downloads/product_2'),
     ('93.190.71.150', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('144.76.160.62', 'GET', '/downloads/product_2'),
     ('91.121.161.213', 'GET', '/downloads/product_2'),
     ('46.4.83.163', 'GET', '/downloads/product_1'),
     ('91.234.194.89', 'GET', '/downloads/product_2'),
     ('50.57.209.92', 'GET', '/downloads/product_1'),
     ('188.138.60.101', 'GET', '/downloads/product_2'),
     ('210.245.80.75', 'GET', '/downloads/product_2'),
     ('144.76.151.58', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('144.76.117.56', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('31.22.86.126', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('62.75.167.106', 'GET', '/downloads/product_2'),
     ('87.233.156.242', 'GET', '/downloads/product_2'),
     ('152.90.220.18', 'GET', '/downloads/product_2'),
     ('93.180.71.3', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('31.22.86.126', 'GET', '/downloads/product_1'),
     ('50.57.209.92', 'GET', '/downloads/product_2'),
     ('5.83.131.103', 'GET', '/downloads/product_1'),
     ('46.4.88.134', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('62.75.198.180', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('5.83.131.103', 'GET', '/downloads/product_1'),
     ('5.83.131.103', 'GET', '/downloads/product_1'),
     ('5.83.131.103', 'GET', '/downloads/product_1'),
     ('195.154.77.170', 'GET', '/downloads/product_2'),
     ('202.143.95.26', 'GET', '/downloads/product_2'),
     ('93.64.134.186', 'GET', '/downloads/product_2'),
     ('85.214.47.178', 'GET', '/downloads/product_2'),
     ('83.161.14.106', 'GET', '/downloads/product_2'),
     ('80.70.214.71', 'HEAD', '/downloads/product_1'),
     ('87.233.156.242', 'GET', '/downloads/product_2'),
     ('54.64.16.235', 'GET', '/downloads/product_2'),
     ('50.57.209.92', 'GET', '/downloads/product_2'),
     ('91.239.186.133', 'GET', '/downloads/product_2'),
     ('91.121.161.213', 'GET', '/downloads/product_2'),
     ('200.6.73.40', 'GET', '/downloads/product_1'),
     ('62.75.198.179', 'GET', '/downloads/product_2'),
     ('93.190.71.150', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('144.76.160.62', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('217.168.17.5', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('144.76.117.56', 'GET', '/downloads/product_1'),
     ('144.76.151.58', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('62.75.167.106', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('37.187.238.39', 'GET', '/downloads/product_2'),
     ('80.70.214.71', 'GET', '/downloads/product_2'),
     ('91.234.194.89', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('188.138.60.101', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('93.180.71.3', 'GET', '/downloads/product_1'),
     ('46.4.88.134', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('62.210.138.59', 'GET', '/downloads/product_2'),
     ('31.22.86.126', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('54.86.157.236', 'GET', '/downloads/product_1'),
     ('195.154.233.202', 'GET', '/downloads/product_2'),
     ('54.86.157.236', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('94.23.21.169', 'GET', '/downloads/product_1'),
     ('54.86.157.236', 'GET', '/downloads/product_1'),
     ('195.154.77.170', 'GET', '/downloads/product_2'),
     ('54.86.157.236', 'GET', '/downloads/product_1'),
     ('85.214.47.178', 'GET', '/downloads/product_1'),
     ('5.83.131.103', 'GET', '/downloads/product_1'),
     ('5.83.131.103', 'GET', '/downloads/product_1'),
     ('5.83.131.103', 'GET', '/downloads/product_1'),
     ('5.83.131.103', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('84.53.65.28', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('54.86.157.236', 'GET', '/downloads/product_1'),
     ('217.168.17.5', 'GET', '/downloads/product_1'),
     ('91.121.161.213', 'GET', '/downloads/product_2'),
     ('80.70.214.71', 'GET', '/downloads/product_1'),
     ('144.76.160.62', 'GET', '/downloads/product_2'),
     ('54.86.157.236', 'GET', '/downloads/product_1'),
     ('93.64.134.186', 'GET', '/downloads/product_2'),
     ('93.190.71.150', 'GET', '/downloads/product_2'),
     ('87.233.156.242', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('91.239.186.133', 'GET', '/downloads/product_2'),
     ('62.75.198.179', 'GET', '/downloads/product_2'),
     ('144.76.117.56', 'GET', '/downloads/product_1'),
     ('178.32.54.253', 'GET', '/downloads/product_1'),
     ('37.187.238.39', 'GET', '/downloads/product_2'),
     ('83.161.14.106', 'GET', '/downloads/product_2'),
     ('54.86.157.236', 'GET', '/downloads/product_1'),
     ('91.194.188.90', 'HEAD', '/downloads/product_2'),
     ('83.161.14.106', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('93.180.71.3', 'GET', '/downloads/product_1'),
     ('62.210.138.59', 'GET', '/downloads/product_2'),
     ('46.4.88.134', 'GET', '/downloads/product_1'),
     ('202.143.95.26', 'GET', '/downloads/product_2'),
     ('202.143.95.26', 'GET', '/downloads/product_2'),
     ('202.143.95.26', 'GET', '/downloads/product_2'),
     ('62.75.198.180', 'GET', '/downloads/product_2'),
     ('144.76.137.134', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('54.86.157.236', 'GET', '/downloads/product_1'),
     ('80.70.214.71', 'GET', '/downloads/product_2'),
     ('91.234.194.89', 'GET', '/downloads/product_2'),
     ('188.138.60.101', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('195.154.233.202', 'GET', '/downloads/product_2'),
     ('94.23.21.169', 'GET', '/downloads/product_2'),
     ('144.76.151.58', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('62.75.167.106', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('50.57.209.92', 'GET', '/downloads/product_1'),
     ('202.143.95.26', 'GET', '/downloads/product_2'),
     ('200.6.73.40', 'GET', '/downloads/product_1'),
     ('195.154.77.170', 'GET', '/downloads/product_2'),
     ('54.187.216.43', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('54.86.157.236', 'GET', '/downloads/product_1'),
     ('202.143.95.26', 'GET', '/downloads/product_2'),
     ('202.143.95.26', 'GET', '/downloads/product_2'),
     ('54.86.157.236', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('84.53.65.28', 'GET', '/downloads/product_2'),
     ('92.50.100.22', 'GET', '/downloads/product_2'),
     ('85.214.47.178', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('54.86.157.236', 'GET', '/downloads/product_1'),
     ('5.83.131.103', 'GET', '/downloads/product_1'),
     ('37.187.238.39', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('195.210.47.239', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('54.64.16.235', 'GET', '/downloads/product_2'),
     ('178.32.54.253', 'GET', '/downloads/product_1'),
     ('144.92.16.161', 'GET', '/downloads/product_1'),
     ('54.86.157.236', 'GET', '/downloads/product_1'),
     ('87.233.156.242', 'GET', '/downloads/product_2'),
     ('31.22.86.126', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('91.121.161.213', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('50.57.209.92', 'GET', '/downloads/product_1'),
     ('91.239.186.133', 'GET', '/downloads/product_2'),
     ('144.76.117.56', 'GET', '/downloads/product_1'),
     ('144.76.160.62', 'GET', '/downloads/product_2'),
     ('62.210.138.59', 'GET', '/downloads/product_2'),
     ('54.86.157.236', 'GET', '/downloads/product_1'),
     ('62.75.198.179', 'GET', '/downloads/product_2'),
     ('93.190.71.150', 'GET', '/downloads/product_2'),
     ('144.76.117.56', 'GET', '/downloads/product_1'),
     ('94.23.21.169', 'GET', '/downloads/product_2'),
     ('91.194.188.90', 'HEAD', '/downloads/product_2'),
     ('93.64.134.186', 'GET', '/downloads/product_2'),
     ('54.86.157.236', 'GET', '/downloads/product_1'),
     ('80.70.214.71', 'HEAD', '/downloads/product_2'),
     ('93.180.71.3', 'GET', '/downloads/product_1'),
     ('195.154.233.202', 'GET', '/downloads/product_2'),
     ('193.192.58.163', 'GET', '/downloads/product_2'),
     ('144.76.137.134', 'GET', '/downloads/product_2'),
     ('54.86.157.236', 'GET', '/downloads/product_1'),
     ('83.161.14.106', 'GET', '/downloads/product_2'),
     ('144.76.151.58', 'GET', '/downloads/product_2'),
     ('144.92.16.161', 'GET', '/downloads/product_1'),
     ('195.154.77.170', 'GET', '/downloads/product_2'),
     ('62.75.198.180', 'GET', '/downloads/product_2'),
     ('91.234.194.89', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('188.138.60.101', 'GET', '/downloads/product_2'),
     ('62.75.167.106', 'GET', '/downloads/product_2'),
     ('46.4.88.134', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('84.53.65.28', 'GET', '/downloads/product_2'),
     ('152.90.220.17', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('178.32.54.253', 'GET', '/downloads/product_1'),
     ('54.72.39.202', 'GET', '/downloads/product_2'),
     ('91.120.61.154', 'GET', '/downloads/product_1'),
     ('37.187.238.39', 'GET', '/downloads/product_2'),
     ('85.214.47.178', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('5.83.131.103', 'GET', '/downloads/product_1'),
     ('200.6.73.40', 'GET', '/downloads/product_1'),
     ('5.83.131.103', 'GET', '/downloads/product_1'),
     ('91.121.161.213', 'GET', '/downloads/product_2'),
     ('91.239.186.133', 'GET', '/downloads/product_2'),
     ('50.57.209.92', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('144.92.16.161', 'GET', '/downloads/product_1'),
     ('87.233.156.242', 'GET', '/downloads/product_2'),
     ('94.23.21.169', 'GET', '/downloads/product_1'),
     ('5.83.131.103', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('202.143.95.26', 'GET', '/downloads/product_2'),
     ('202.143.95.26', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('62.210.138.59', 'GET', '/downloads/product_2'),
     ('144.76.160.62', 'GET', '/downloads/product_2'),
     ('93.190.71.150', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('202.143.95.26', 'GET', '/downloads/product_2'),
     ('193.192.58.163', 'GET', '/downloads/product_2'),
     ('195.154.233.202', 'GET', '/downloads/product_2'),
     ('80.70.214.71', 'HEAD', '/downloads/product_2'),
     ('62.75.198.179', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('144.92.16.161', 'GET', '/downloads/product_1'),
     ('195.154.77.170', 'GET', '/downloads/product_2'),
     ('50.57.209.92', 'GET', '/downloads/product_2'),
     ('144.76.117.56', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('144.76.137.134', 'GET', '/downloads/product_1'),
     ('188.138.60.101', 'GET', '/downloads/product_2'),
     ('54.172.198.124', 'GET', '/downloads/product_2'),
     ('37.187.238.39', 'GET', '/downloads/product_2'),
     ('178.32.54.253', 'GET', '/downloads/product_1'),
     ('62.75.198.180', 'GET', '/downloads/product_2'),
     ('62.75.167.106', 'GET', '/downloads/product_2'),
     ('195.210.47.239', 'GET', '/downloads/product_2'),
     ('91.234.194.89', 'GET', '/downloads/product_2'),
     ('31.22.86.126', 'GET', '/downloads/product_1'),
     ('91.194.188.90', 'GET', '/downloads/product_2'),
     ('92.50.100.22', 'GET', '/downloads/product_1'),
     ('144.76.151.58', 'GET', '/downloads/product_2'),
     ('93.64.134.186', 'GET', '/downloads/product_2'),
     ('85.214.47.178', 'GET', '/downloads/product_2'),
     ('94.23.21.169', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('91.121.161.213', 'GET', '/downloads/product_2'),
     ('83.161.14.106', 'GET', '/downloads/product_2'),
     ('54.64.16.235', 'GET', '/downloads/product_2'),
     ('84.53.65.28', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('50.57.209.92', 'GET', '/downloads/product_1'),
     ('91.239.186.133', 'GET', '/downloads/product_2'),
     ('144.92.16.161', 'GET', '/downloads/product_1'),
     ('62.210.138.59', 'GET', '/downloads/product_2'),
     ('210.245.80.75', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('83.161.14.106', 'GET', '/downloads/product_2'),
     ('87.233.156.242', 'GET', '/downloads/product_2'),
     ('5.83.131.103', 'GET', '/downloads/product_1'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('91.120.61.154', 'GET', '/downloads/product_1'),
     ('195.154.233.202', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('193.192.58.163', 'GET', '/downloads/product_2'),
     ('93.190.71.150', 'GET', '/downloads/product_2'),
     ('144.76.160.62', 'GET', '/downloads/product_2'),
     ('50.57.209.92', 'GET', '/downloads/product_1'),
     ('62.75.198.179', 'GET', '/downloads/product_2'),
     ('193.192.59.41', 'GET', '/downloads/product_2'),
     ('195.154.77.170', 'GET', '/downloads/product_2'),
     ('80.91.33.133', 'GET', '/downloads/product_1'),
     ('200.6.73.40', 'GET', '/downloads/product_1'),
